0.019114,0.0052429,0.28114,0.063
0.041043,0.2605,0.026029,0.0087857
0.038071,0.17601,0.0177,0.0064857
0.0744,0.00098571,0.0070286,0.035014
0.083443,0.00032857,0.012486,0.044029
0.0715,0.0061429,0.0344,0.0267
0.041643,0.0047857,0.053371,0.027286
0.022914,0.010829,0.1336,0.063629
0.33796,0.089986,0.014386,0.017643
0.060229,0.0458,0.020157,0.0049714
0.0076857,0.1712,0.0045714,0.011729
0.0018286,0.34673,0.011114,0.0088429
0.0092286,0.0011714,0.049586,0.1722
0.11586,0.011814,0.012857,0.29367
0.10393,0.0023429,0.028586,0.0232
